sõna	liik	kokku	aja	ilu
nappima	V	20	16	4
nappus	S	7	4	3
naps	S	14	3	11
napsama	V	7	5	2
narkomaan	S	15	14	1
narkomaania	S	8	7	1
narkootikum	S	16	15	1
narr	A/S	20	5	15
nats	S	11	9	2
natuke	D	180	51	129
natukene	D	20	6	14
nauding	S	32	8	24
nauditav	A	9	5	4
nautima	V	54	27	27
needma	V	18	2	16
needus	S	7	1	6
neeger	S	11	5	6
neegrinaine	S	6	1	5
neelama	V	57	11	46
neer	S	7	3	4
negatiivne	A	32	30	2
neitsi	S	23	18	5
neiu	S	139	41	98
neli	N	403	267	136
nelik	S	7	6	1
nelikümmend	N	51	10	41
nelisada	N	8	4	4
neliteist	N	9	5	4
neli-viis	N	6	3	3
nelja-aastane	A	7	6	1
neljandaks	D	9	8	1
neljandik	N/S	12	9	3
neljane	A	6	4	2
neljapäev	S	98	97	1
neljapäevane	A	7	6	1
neljas	N	91	53	38
nentima	V	152	133	19
neutraalne	A	18	12	6
neutraliteet	S	7	6	1
nigel	A	7	6	1
nihe	S	5	4	1
nihkuma	V	30	10	20
nihutama	V	31	2	29
nii	D	3531	1422	2109
niidirull	S	6	2	4
niigi	D	54	19	35
niihästi	D	8	1	7
niikaua	D	22	8	14
niikaugele	D	5	2	3
niikuinii	D	54	24	30
niimoodi	D	109	21	88
niinimetatud	D	16	7	9
niipalju	D	52	16	36
niipea	D	43	20	23
niisama	D	133	36	97
niisamuti	D	26	4	22
niisiis	D	99	17	82
niiske	A	43	4	39
niiskus	S	10	3	7
niisugune	P	433	94	339
niit	S/S	24	9	15
niitma	V	27	10	17
niiviisi	D	49	9	40
niivõrd	D	55	33	22
niiöelda	D	6	5	1
nii-öelda	D	11	4	7
nikerdama	V	7	3	4
nimekas	A	11	8	3
nimekiri	S	136	122	14
nimel	D	100	67	33
nimeline	A	18	16	2
nimelt	D	146	63	83
nimetama	V	338	216	122
nimetatu	S	40	31	9
nimetu	A	12	3	9
nimetus	S	25	18	7
nimi	S	522	175	347
nimistu	S	12	11	1
nina	S	131	22	109
ninapidi	D	8	1	7
ning	D	4409	2377	2032
nipp	S	9	6	3
nirisema	V	6	2	4
nisu	S	8	4	4
niue	S	6	1	5
no	D	145	30	115
noahaav	S	7	4	3
noatera	S	6	2	4
noh	D	174	11	163
nohisema	V	12	1	11
nohu	S	7	5	2
nojaa	D	8	3	5
nojah	D	49	6	43
nokitsema	V	8	3	5
nokk	S	17	4	13
nokkima	V	16	1	15
nomenklatuur	S	6	4	2
noobel	A	6	5	1
noogutama	V	80	3	77
nool	S	25	12	13
noomima	V	15	4	11
noomimine	S	5	3	2
noomitus	S	6	3	3
noor	A/S	589	307	282
noorelt	D	9	1	8
noorem	A	127	42	85
nooremleitnant	S	11	7	4
noorhärra	S	5	1	4
noorim	A	9	5	4
noormees	S	232	101	131
noorsugu	S	5	3	2
nooruk	S	44	15	29
nooruke	A	22	4	18
noorus	S	50	10	40
nooruslik	A	9	4	5
noot	S/S	15	9	6
noppima	V	20	11	9
norima	V	13	8	5
norm	S	39	26	13
normaalne	A	97	69	28
normaalselt	D	17	12	5
norra	A	7	4	3
norskama	V	9	1	8
nostalgia	S	5	4	1
notar	S	7	6	1
novell	S	20	5	15
november	S	130	122	8
novembrikuu	S	6	3	3
nuga	S	77	23	54
nuhkima	V	6	1	5
nuhtlema	V	8	2	6
nukk	S/S/S	35	16	19
nukker	A	29	5	24
nukralt	D	19	2	17
nukrus	S	5	2	3
nukuteater	S	9	8	1
null	N/S	43	24	19
nullima	V	11	10	1
number	S	157	79	78
numbrimärk	S	8	7	1
numbrituba	S	5	1	4
nupp	S	15	6	9
nurin	S	7	2	5
nurisema	V	14	6	8
nurjuma	V	5	2	3
nurk	S	144	37	107
nurm	S	20	14	6
nutikas	A	7	3	4
nutma	V	132	13	119
nutt	S/S	20	9	11
nuusutama	V	22	3	19
nõel	S	11	3	8
nõges	S	13	6	7
nõid	S	19	6	13
nõiduslik	A	6	4	2
nõjatuma	V	12	1	11
nõlv	S	11	5	6
nõnda	D	246	27	219
nõndaviisi	D	8	1	7
nõrgalt	D	7	3	4
nõrgem	A	22	16	6
nõrgenema	V	7	1	6
nõrgestama	V	6	4	2
nõrk	A	67	35	32
nõrkus	S	43	22	21
nõu	S/S	91	37	54
nõuanne	S	11	7	4
nõudev	A	20	13	7
nõudlik	A	11	5	6
nõudlikult	D	5	1	4
nõudlikum	A	6	5	1
nõudma	V	426	250	176
nõudmine	S	56	48	8
nõue	S	103	100	3
nõukogu	S	373	281	92
nõukogulik	A	11	7	4
nõupidamine	S	16	12	4
nõus	D	125	81	44
nõusolek	S	30	26	4
nõusse	D	12	2	10
nõustuma	V	98	63	35
nõutav	A	17	14	3
nõutu	A	8	2	6
nõutult	D	17	3	14
nõutus	S	7	1	6
nädal	S	563	416	147
nädalalõpp	S	10	5	5
nädalane	A	6	5	1
nädalapäev	S	11	4	7
nädalavahetus	S	61	56	5
nägema	V	1905	571	1334
nägemine	S	26	5	21
nägemus	S	26	15	11
nägija	S	7	1	6
nägu	S	685	94	591
nägus	A	6	1	5
nähtamatu	A/S	28	1	27
nähtav	A	42	12	30
nähtavale	D	24	4	20
nähtavasti	D	70	14	56
nähtu	S	31	14	17
nähtuma	V	8	6	2
nähtus	S	46	28	18
näide	S	101	85	16
näidend	S	25	15	10
näiline	A	19	8	11
näiliselt	D	15	6	9
näima	V	281	79	202
näit	S	9	6	3
näitaja	S	36	33	3
näitama	V	569	330	239
näitamine	S	15	9	6
näitav	A	6	4	2
näiteks	D	585	477	108
näitemäng	S	8	6	2
näitering	S	5	4	1
näitleja	S	66	39	27
näitlejatöö	S	5	4	1
näitus	S	157	145	12
näksima	V	7	2	5
nälg	S	37	11	26
näljane	A	13	2	11
näoilme	S	15	1	14
näojoon	S	9	1	8
näol	D	43	27	16
näpistama	V	11	1	10
näpp	S	66	17	49
näppama	V	6	3	3
näpunäide	S	12	7	5
näpuots	S	6	2	4
närima	V	30	11	19
närv	S	43	14	29
närveerima	V	5	2	3
närviline	A	22	6	16
närviliselt	D	14	3	11
närvilisem	A	5	1	4
närvilisus	S	6	3	3
näts	S	5	3	2
nördima	V	10	7	3
nördimus	S	8	4	4
nööp	S	20	6	14
nöör	S	41	11	30
nüanss	S	11	6	5
nülgima	V	5	1	4
nüri	A	10	1	9
nüüd	D	1803	490	1313
nüüdne	A	68	44	24
nüüdsama	D	8	1	7
oaas	S	5	1	4
objekt	S	73	62	11
objektiivne	A	14	12	2
oblast	S	22	10	12
oda	S	13	7	6
odav	A	46	31	15
odavaim	A	10	9	1
odavalt	D	9	6	3
odavam	A	50	40	10
odavamalt	D	13	12	1
oder	S	10	8	2
ogar	A	9	1	8
oh	D	102	11	91
ohe	S	17	6	11
ohi	S	6	4	2
ohjeldama	V	10	5	5
ohkama	V	61	8	53
oht	S	120	92	28
ohtlik	A	93	61	32
ohtlikult	D	6	1	5
ohtlikum	A	11	8	3
ohtralt	D	14	11	3
ohustama	V	28	23	5
ohutu	A	16	12	4
ohutunne	S	8	5	3
ohutus	S	8	7	1
ohver	S	74	48	26
ohverdama	V	12	5	7
ohvitser	S	123	61	62
oi	D	25	4	21
oie	S	7	1	6
oigama	V	13	3	10
oinas	S	11	1	10
oivaline	A	5	3	2
oja	S	37	19	18
okas	S	6	1	5
okastraat	S	5	1	4
okei	D	9	2	7
okkaline	A	6	1	5
oks	S	49	12	37
oksendama	V	11	2	9
oktoober	S	144	136	8
oktoobrikuu	S	5	3	2
okupatsioon	S	11	6	5
okupatsiooniaeg	S	6	3	3
okupeerima	V	10	5	5
olek	S	60	15	45
olema	V	44904	21104	23800
olemasolev	A	49	37	12
olemasolu	S	73	50	23
olematu	A	51	19	32
olematus	S	10	4	6
olemine	S	58	17	41
olemus	S	46	21	25
olend	S	25	3	22
olenema	V	36	20	16
olenevalt	D	16	12	4
oletama	V	59	31	28
oletatav	A	7	3	4
oletus	S	14	9	5
olev	A	296	175	121
olevik	S	15	3	12
olgugi	D	15	2	13
oliiv	S	8	1	7
olija	S	15	6	9
ollus	S	5	1	4
olnu	S	8	3	5
olnud	A	14	4	10
olu	S	44	35	9
olukord	S	397	291	106
oluline	A	254	203	51
oluliselt	D	72	69	3
olulisem	A	57	42	15
olümpia	S	20	19	1
olümpiamäng	S	28	22	6
oma	A/S/P/D	5738	2386	3352
omaaegne	A	21	18	3
omadus	S	27	14	13
omaenese	P	55	14	41
omaette	D	84	19	65
omajagu	D	9	3	6
omakorda	D	72	46	26
omaksed	S	23	17	6
omalt	D	19	10	9
omama	V	39	28	11
omamine	S	5	4	1
omamoodi	D	38	16	22
omand	S	21	19	2
omandama	V	77	59	18
omandamine	S	15	14	1
omandiõigus	S	9	8	1
omane	A	33	18	15
omanik	S	233	194	39
omapead	D	9	2	7
omapoolne	A	14	8	6
omapäi	D	6	2	4
omapära	S	7	3	4
omapärane	A	20	10	10
omasugune	P	15	4	11
omav	A	9	8	1
omavahel	D	131	64	67
omavaheline	A	47	38	9
omavoliline	A	5	3	2
ometi	D	457	91	366
ometigi	D	35	6	29
omistama	V	7	2	5
ontlik	A	5	3	2
onu	S	63	9	54
oodatav	A/S	10	8	2
oodatu	S	19	12	7
oode	S	14	4	10
ookean	S	33	20	13
ooper	S	28	19	9
ootaja	S	10	1	9
ootama	V	772	291	481
ootamatu	A	69	36	33
ootamatult	D	105	23	82
ootamatus	S	6	2	4
ootamine	S	17	4	13
ootav	A	20	7	13
ooteruum	S	8	3	5
ootus	S	38	23	15
ootuspärane	A	7	4	3
operatsioon	S	56	47	9
opereerima	V	18	11	7
oponent	S	13	11	2
opositsioon	S	83	77	6
optimaalne	A	5	4	1
optimism	S	5	3	2
optimist	S	5	4	1
optimistlik	A	23	18	5
optimistlikult	D	8	4	4
ora	S	5	2	3
orav	S	5	2	3
orb	S	11	5	6
orden	S	7	2	5
ordu	S	8	4	4
orel	S	17	15	2
oreool	S	6	3	3
org	S	31	14	17
orgaaniline	A	7	6	1
organ	S	20	3	17
organisatsioon	S	81	80	1
organiseerima	V	23	17	6
organism	S	20	17	3
ori	S	20	5	15
orienteerima	V	6	5	1
orienteeruma	V	18	10	8
originaal	S	14	7	7
originaalne	A	16	8	8
originaalsus	S	6	1	5
orkester	S	33	24	9
osa	S	729	571	158
osakond	S	89	78	11
osakonnajuhataja	S	13	7	6
osalema	V	159	154	5
osalemine	S	32	31	1
osalev	A	5	4	1
osaline	A	46	33	13
osaliselt	D	31	27	4
osalt	D	29	10	19
osanik	S	5	4	1
osariik	S	25	19	6
osas	D	75	70	5
osatama	V	10	1	9
osatähtsus	S	7	6	1
osav	A	12	6	6
osavalt	D	18	5	13
osavus	S	9	4	5
osavõtja	S	15	14	1
osavõtt	S	14	10	4
oskama	V	574	201	373
oskav	A	5	3	2
oskus	S	79	52	27
osoon	S	9	7	2
ost	S	38	35	3
ostja	S	68	58	10
ostma	V	463	291	172
ostmine	S	63	53	10
ostujõud	S	6	5	1
osutama	V	81	37	44
osutuma	V	102	63	39
ots	S	175	53	122
otsa	D	278	53	225
otsapidi	D	6	2	4
otsas	D	54	8	46
otsasein	S	8	1	7
otse	D	243	59	184
otsejoones	S	6	1	5
otsekohe	D	45	4	41
otsekohesus	S	6	2	4
otsekui	D	170	14	156
otsene	A	70	46	24
otseselt	D	56	47	9
otsesõnu	D	7	5	2
otsija	S	5	2	3
otsima	V	452	157	295
otsimine	S	26	23	3
otsing	S	16	9	7
otsitav	A/S	7	3	4
otsiv	A	6	4	2
otstarbekam	A	6	4	2
otstarbekas	A	20	17	3
otstarve	S	26	16	10
otsus	S	411	363	48
otsustaja	S	8	7	1
otsustama	V	459	293	166
otsustamine	S	22	18	4
otsustav	A	42	29	13
otsustavalt	D	20	3	17
otsustusõigus	S	5	4	1
ovaalne	A	5	2	3
paak	S	5	1	4
paanika	S	18	7	11
paaniliselt	D	8	1	7
paar	N/S	505	211	294
paar-kolm	N	20	10	10
paarkümmend	N	59	41	18
paarsada	N	14	7	7
paat	S	89	29	60
paber	S	175	76	99
paberileht	S	19	1	18
paberitükk	S	7	1	6
pabistama	V	6	1	5
pada	S/S	6	2	4
padi	S	26	3	23
padrun	S	21	6	15
paduvihm	S	8	5	3
pael	S	19	6	13
paeluma	V	6	1	5
pagan	S	18	3	15
pagar	S	8	2	6
pagas	S	5	4	1
pagasiruum	S	6	5	1
pagulane	S	7	3	4
pagun	S	8	1	7
paha	A/S	84	21	63
pahaendeline	A	6	2	4
pahameel	S	21	6	15
pahandama	V	46	13	33
pahandus	S	33	11	22
pahane	A	21	9	12
pahatihti	D	16	8	8
pahe	S	11	5	6
paheline	A	5	2	3
pahur	A	10	2	8
pahvatama	V	19	1	18
pahvima	V	5	2	3
paigal	D	31	8	23
paigaldama	V	30	29	1
paigaldamine	S	18	17	1
paigale	D	13	1	12
paigas	S	21	10	11
paigutama	V	57	33	24
paigutamine	S	11	10	1
paiguti	D	9	5	4
paigutuma	V	5	3	2
paigutus	S	6	5	1
paik	S/S	155	63	92
paikama	V	7	1	6
paiknema	V	32	20	12
paiknev	A	19	13	6
paiku	D	51	34	17
painama	V	7	3	4
painav	A	6	2	4
paindlik	A	7	6	1
paine	S/S	7	2	5
painutama	V	7	4	3
paisjärv	S	5	3	2
paiskama	V	38	10	28
paiskuma	V	30	8	22
paistes	D	6	1	5
paistetama	V	6	1	5
paistev	A	14	3	11
paistma	V	405	84	321
paisuma	V	33	13	20
paisutama	V	5	1	4
paisuv	A	6	2	4
paitama	V	6	1	5
pajatama	V	15	7	8
paju	S	27	15	12
pakane	S	22	5	17
pakend	S	10	4	6
pakk	S/S	83	24	59
pakkima	V	54	15	39
pakkuma	V	426	273	153
pakkumine	S	69	57	12
pakkuv	A	16	13	3
paks	A/S	115	27	88
paksem	A	9	5	4
paksuke	A/S	6	2	4
paksult	D	8	1	7
paksune	A	11	9	2
paksus	S	12	9	3
pala	S	29	26	3
palagan	S	10	1	9
palav	A	24	7	17
palavik	S	25	5	20
palavus	S	10	1	9
pale	S	18	4	14
palee	S	7	2	5
palgaline	A/S	9	4	5
palgalisa	S	5	4	1
palgapäev	S	6	1	5
palgaraha	S	7	6	1
palitu	S	6	1	5
paljajalu	D	8	3	5
paljas	A	85	12	73
paljastama	V	25	12	13
paljastamine	S	6	5	1
palju	D/P	1582	905	677
paljundama	V	7	4	3
paljunäinud	A	5	1	4
palk	S/S	229	165	64
palkama	V	16	9	7
pall	S	64	47	17
palm	S	22	12	10
palsam	S	5	3	2
paluma	V	339	105	234
palve	S	48	21	27
palvetama	V	12	2	10
pandav	A	5	4	1
paneelmaja	S	5	1	4
panema	V	1331	490	841
panemine	S	10	9	1
panev	A	11	7	4
pang	S	27	6	21
pangaarve	S	7	6	1
pangarööv	S	5	4	1
panipaik	S	7	2	5
pank	S/S	433	396	37
pankrot	S	33	31	2
pankur	S	20	18	2
pann	S	26	14	12
pantima	V	6	2	4
panus	S	39	33	6
paotama	V	10	1	9
papa	S	12	3	9
papagoi	S	7	5	2
papi	S	13	4	9
papp	S/S	9	5	4
paps	S	5	2	3
paraad	S	17	15	2
paradiis	S	21	6	15
paradoks	S	10	4	6
paragrahv	S	33	26	7
parajalt	D	10	4	6
parajasti	D	92	9	83
paraku	D	110	84	26
paralleel	S	12	8	4
paralleelselt	D	11	8	3
parandama	V	99	49	50
parandamine	S	38	34	4
parandus	S	26	24	2
paranema	V	50	35	15
paranemine	S	17	13	4
paras	A	75	22	53
parasjagu	D	45	14	31
parata	D	27	4	23
paratamatu	A	20	14	6
paratamatult	D	44	23	21
paratamatus	S	20	12	8
parem	A/D	552	244	308
paremini	D	126	80	46
parempoolne	A	53	46	7
pargipink	S	6	2	4
parim	A	234	178	56
park	S	57	28	29
parkett	S	6	1	5
parkima	V	28	18	10
parkimine	S	16	15	1
parkimisplats	S	11	5	6
parkiv	A	5	4	1
parkla	S	30	29	1
parlamendiliige	S	5	4	1
parlamendisaadik	S	9	8	1
parlament	S	147	145	2
parm	S	10	1	9
paroodia	S	7	5	2
parras	S	28	4	24
partei	S	215	191	24
parteikomitee	S	5	1	4
parteiline	A	7	6	1
parteimaja	S	5	1	4
partii	S	23	17	6
partisan	S	5	2	3
partner	S	52	42	10
parukas	S	6	2	4
parun	S	36	9	27
parv	S	17	9	8
pass	S	52	29	23
passima	V	28	2	26
pasta	S	12	10	2
pastakas	S	7	2	5
pastapliiats	S	7	2	5
pastor	S	20	15	5
pataljon	S	16	10	6
patarei	S	14	5	9
patent	S	7	6	1
patsient	S	54	35	19
patsutama	V	17	4	13
patt	S	44	13	31
patune	A	10	3	7
paugutama	V	6	2	4
pauk	S	17	5	12
paus	S	31	5	26
pea	D/S	1253	362	891
peaaegu	D	443	162	281
peaarst	S	11	6	5
peaasi	S	31	11	20
peaasjalikult	D	5	3	2
peadpööritav	A	10	2	8
peagi	D	62	27	35
peahoone	S	24	14	10
peakirik	S	5	1	4
peakorter	S	12	11	1
peal	D	213	45	168
peale	D	1175	398	777
pealegi	D	161	42	119
pealekauba	D	5	1	4
pealelõuna	S	7	1	6
pealetung	S	14	11	3
pealik	S	38	9	29
pealinn	S	122	90	32
pealiskaudselt	D	7	3	4
pealispind	S	7	1	6
pealkiri	S	47	34	13
pealt	D	143	54	89
pealtnägija	S	14	6	8
pealtnäha	D	13	3	10
pealtvaataja	S	27	22	5
pealuu	S	8	1	7
peamine	A	89	75	14
peaminister	S	258	256	2
peamiselt	D	112	73	39
peanäitejuht	S	10	2	8
peaosa	S	11	10	1
peaosaline	A	6	5	1
peaproov	S	7	6	1
peapööritus	S	5	2	3
peasekretär	S	23	21	2
peastaap	S	41	39	2
peatama	V	74	37	37
peatamine	S	8	7	1
peatee	S	12	9	3
peategelane	S	15	11	4
peatne	A	12	8	4
peatoimetaja	S	25	21	4
peatselt	D	29	14	15
peatuma	V	132	29	103
peatus	S	52	23	29
peatänav	S	5	3	2
peatükk	S	10	8	2
peavalu	S	17	11	6
peavari	S	18	10	8
pedagoog	S	25	17	8
pedagoogiline	A	10	8	2
peegel	S	76	12	64
peegeldama	V	22	18	4
peegelduma	V	29	5	24
peegeldus	S	7	2	5
peegelpilt	S	6	3	3
peen	A	41	11	30
peenar	S	21	7	14
peenelt	D	7	2	5
peenem	A	7	1	6
peenetundeline	A	5	2	3
peenike	A	19	2	17
peet	S	21	9	12
peetav	A	19	17	2
pehkima	V	7	1	6
pehme	A	108	19	89
pehmelt	D	10	4	6
pehmem	A	7	5	2
pehmendama	V	7	6	1
peielaud	S	5	1	4
peigmees	S	8	1	7
peitma	V	76	22	54
peituma	V	43	15	28
peituv	A	11	6	5
peksa	D	13	5	8
peksma	V	54	21	33
peletama	V	21	9	12
pelg	S	5	1	4
pelgalt	D	15	14	1
pelgama	V	38	7	31
pelk	A	7	3	4
peni	S	26	3	23
penn	S	5	1	4
pension	S	64	54	10
pensionär	S	60	53	7
peo	S	77	20	57
peolaud	S	5	3	2
peopesa	S	22	1	21
pere	S	216	138	78
pereema	S	8	4	4
pereisa	S	7	5	2
perekond	S	122	68	54
perekondlik	A	6	3	3
perekonnaelu	S	5	2	3
perekonnaliige	S	6	5	1
perekonnanimi	S	11	3	8
pereliige	S	12	10	2
peremees	S	206	45	161
perenaine	S	65	16	49
perepoeg	S	11	3	8
pererahvas	S	16	1	15
perestroika	S	5	3	2
periood	S	60	39	21
perioodiline	A	5	2	3
perse	S	20	2	18
personal	S	21	13	8
perspektiiv	S	19	14	5
pesa	S	46	21	25
pesapaik	S	6	5	1
pesema	V	114	32	82
pesemine	S	13	5	8
pesitsema	V	9	7	2
pesu	S	23	2	21
pesumasin	S	7	5	2
pesuruum	S	8	6	2
petlik	A	12	4	8
petma	V	55	16	39
pettuma	V	40	19	21
pettumus	S	24	11	13
pettur	S	6	5	1
pettus	S	27	23	4
pidaja	S	8	7	1
pidama	V/V	4039	2102	1937
pidamine	S	22	15	7
pidav	A	25	17	8
pide	S	9	1	8
pidev	A	56	34	22
pidevalt	D	110	74	36
pidi	D	9	3	6
pidu	S/S	58	32	26
pidulik	A	39	20	19
pidulikult	D	10	5	5
pidur	S	11	5	6
pidurdama	V	34	23	11
pidutsema	V	6	4	2
pigem	D	187	102	85
pigistama	V	44	11	33
pihk	S/S	149	16	133
pihlakas	S	7	3	4
piht	S/S	29	16	13
pihta	D	60	13	47
pihtima	V	11	6	5
pihtimus	S	11	4	7
piibel	S	36	12	24
piiga	S	21	7	14
piiksuma	V	8	1	7
piiluma	V	46	4	42
piim	S	104	59	45
piimanõu	S	6	1	5
piin	S	17	2	15
piinama	V	15	5	10
piinav	A	6	2	4
piinlema	V	6	1	5
piinlik	A	49	10	39
piinlikkus	S	10	4	6
piip	S	31	7	24
piir	S	267	156	111
piirama	V	97	61	36
piiramatult	D	6	3	3
piiramine	S	13	10	3
piiratus	S	9	1	8
piirduma	V	52	29	23
piire	S	6	3	3
piires	D	20	16	4
piirimaa	S	8	4	4
piiripunkt	S	8	5	3
piiritlema	V	6	4	2
piiritus	S	15	3	12
piirivalve	S	30	28	2
piirivalvur	S	11	6	5
piirjoon	S	10	1	9
piirkond	S	122	111	11
piisama	V	71	45	26
piisav	A	36	31	5
piisavalt	D	113	83	30
piisk	S	20	5	15
piiskop	S	8	4	4
piits	S	10	5	5
pikaajaline	A	56	51	5
pikali	D	51	6	45
pikalt	D	56	16	40
pikapeale	D	15	6	9
pikem	A	99	50	49
pikemalt	D	27	12	15
pikendama	V	28	23	5
pikendus	S	6	3	3
pikenema	V	8	5	3
piki	D	19	4	15
pikim	A	5	4	1
pikk	A	578	197	381
pikkamisi	D	12	1	11
pikkamööda	D	15	1	14
pikkune	A	38	32	6
pikkus	S	41	27	14
pikne	S	7	3	4
pildikast	S	6	2	4
pildistama	V	18	8	10
pilduma	V	17	3	14
pilet	S	76	63	13
pilge	S	18	2	16
pilgeni	D	7	2	5
pilk	S	489	38	451
pilkama	V	5	1	4
pill	S/S	43	18	25
pillama	V	17	1	16
pillimees	S	10	3	7
pilt	S	324	174	150
pilu	S	7	1	6
pilv	S	56	10	46
pilve	D	8	4	4
pilves	D	46	43	3
pilvitu	A	28	22	6
pime	A/S	141	29	112
pimedam	A	6	1	5
pimedus	S	98	10	88
pind	S/S	114	68	46
pinev	A	8	2	6
pinge	S	56	25	31
pingeline	A	12	9	3
pinginaaber	S	6	3	3
pingsalt	D	10	2	8
pingul	D	12	1	11
pingule	D	8	1	7
pingutama	V	46	22	24
pingutav	A	6	2	4
pingutus	S	47	20	27
pink	S	56	8	48
pinnapealne	A	8	5	3
pinnas	S	15	7	8
pintsak	S	17	2	15
pioneer	S	8	2	6
pipar	S	14	13	1
piparkook	S	6	1	5
pirn	S	15	9	6
pirukas	S	6	1	5
pisar	S	76	12	64
pisem	A	11	5	6
pisendama	V	5	3	2
pisiasi	S	17	5	12
pisike	A	96	27	69
pisim	A	7	1	6
pistis	S	6	3	3
pistma	V	130	20	110
pistmine	S	15	8	7
pistrik	S	8	6	2
pisuke	A	6	3	3
pisut	D	294	84	210
pitsat	S	11	10	1
plaan	S	189	137	52
plaanima	V	47	39	8
plaanitsema	V	11	1	10
plaat	S	60	31	29
plahvatama	V	28	11	17
plahvatus	S	40	29	11
plakat	S	13	11	2
plaksutama	V	10	3	7
planeerima	V/V	61	52	9
planeet	S	21	12	9
plank	A/S/S	14	4	10
plats	S	79	43	36
plehku	D	8	3	5
pleier	S	17	15	2
plekk	S/S	22	2	20
pliiats	S	29	6	23
pliit	S	41	9	32
plika	S	72	5	67
pluss	S	32	26	6
plusspunkt	S	5	4	1
pluus	S	11	1	10
pobisema	V	5	1	4
poeesia	S	5	4	1
poeet	S	21	10	11
poeetiline	A	6	5	1
poeg	S	290	98	192
poetama	V	25	7	18
poi	S	12	6	6
poisike	S	72	9	63
poiss	S	681	157	524
poissmees	S	6	2	4
pojake	S	5	1	4
pojapoeg	S	7	2	5
pokaal	S	6	2	4
poliitik	S	167	155	12
poliitika	S	152	136	16
poliitiline	A	243	223	20
poliitiliselt	D	17	14	3
polikliinik	S	11	8	3
politsei	S	356	316	40
politseiauto	S	7	5	2
politseijaoskond	S	16	11	5
politseinik	S	105	78	27
polk	S	8	4	4
polkovnik	S	12	1	11
pomm	S	54	28	26
pommitaja	S	8	4	4
pommitama	V	10	6	4
pommitamine	S	8	5	3
poni	S	5	2	3
ponnistus	S	6	5	1
pood	S	107	46	61
poodium	S	6	2	4
pool	D/S/S/N	1470	735	735
poola	A	6	4	2
poolaasta	S	14	13	1
poolakas	S	11	5	6
pooldama	V	38	35	3
poole	D	489	103	386
poolehoid	S	8	6	2
poolehoidja	S	8	6	2
pooleks	D	20	4	16
pooleldi	D	30	5	25
pooleli	D	51	21	30
pooleliolev	A	6	3	3
poolest	D	86	41	45
poolik	A/S	28	9	19
poolpime	A	8	1	7
poolsaar	S	18	15	3
poolsada	N	11	6	5
poolt	D	44	20	24
poolteist	N	62	43	19
pooltund	S	5	4	1
pooltühi	A	14	2	12
poolus	S	5	3	2
pooma	V	17	7	10
poos	S	12	1	11
populaarne	A	23	19	4
populaarsus	S	27	26	1
porgand	S	18	9	9
pori	S	27	5	22
porine	A	16	4	12
portfell	S	28	11	17
portree	S	17	11	6
ports	S	7	3	4
poseerima	V	5	4	1
positiivne	A	88	83	5
positsioon	S	57	47	10
post	S/S	50	34	16
postimaja	S	5	4	1
postkaart	S	7	3	4
postkast	S	22	2	20
postkontor	S	15	4	11
potentsiaalne	A	19	17	2
potsatama	V	6	1	5
pott	S	23	13	10
praad	S	10	7	3
praadima	V	20	10	10
praadimine	S	10	9	1
praam	S	11	10	1
praegu	D	942	610	332
praegune	A	337	288	49
praht	S	19	6	13
prahvatama	V	6	1	5
praktika	S	28	21	7
praktikant	S	8	3	5
praktiline	A	33	25	8
praktiliselt	D	35	29	6
prantslane	S	19	11	8
prantsuse	A	84	62	22
preemia	S	80	70	10
preester	S	15	7	8
prefekt	S	36	28	8
prefektuur	S	15	14	1
preili	S	41	3	38
president	S	469	449	20
presiidium	S	5	1	4
press	S/S	26	21	5
pressima	V	56	16	40
pretendeerima	V	5	3	2
pretensioon	S	14	12	2
prii	A	24	10	14
prill	S	50	4	46
primitiivne	A	13	8	5
prints	S	14	3	11
printsess	S	11	3	8
printsiip	S	20	13	7
priske	A	15	4	11
prits	S	6	4	2
pritsima	V	16	1	15
pritsimees	S	5	4	1
privileeg	S	16	4	12
probleem	S	361	307	54
professionaal	S	12	11	1
professionaalne	A	29	28	1
professionaalsus	S	10	8	2
professor	S	74	45	29
proff	A/S	10	7	3
programm	S	147	132	15
progress	S	14	1	13
prohvet	S	8	1	7
projekt	S	158	152	6
projekteerima	V	8	6	2
prokurör	S	28	22	6
prominent	S	15	4	11
pronks	S	12	10	2
proov	S	41	16	25
proovima	V	135	57	78
proovimine	S	5	4	1
proportsionaalne	A	5	4	1
proportsioon	S	5	3	2
prostituut	S	17	12	5
protees	S	5	4	1
protest	S	26	17	9
protesteerima	V	16	7	9
prototüüp	S	10	6	4
protseduur	S	24	13	11
protsent	S	439	422	17
protsess	S	75	52	23
protsessima	V	5	3	2
proua	S	135	16	119
provints	S	21	16	5
provokatsioon	S	8	4	4
provotseerima	V	5	1	4
pruukima	V	86	58	28
pruun	A/S	58	14	44
pruunistama	V	5	3	2
pruut	S	20	5	15
prügi	S	15	7	8
prügikast	S	22	11	11
prügimägi	S	19	13	6
psühhiaater	S	12	7	5
psühholoog	S	25	17	8
psühholoogia	S	7	4	3
psühholoogiline	A	23	18	5
psühholoogiliselt	D	7	5	2
psüühika	S	8	1	7
psüühiline	A	11	7	4
pubi	S	5	4	1
publik	S	82	68	14
pude	A/S	8	1	7
pudel	S	119	21	98
pudenema	V	38	6	32
puder	S	33	5	28
pugema	V	64	8	56
